gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
OXCT2,Homo,64064,OXCT2,3-oxoacid CoA-transferase 2,,1,"The protein encoded by this gene catalyzes the transfer of a CoA group from succinate to acetoacetate and is an important enzyme in ketone body catabolism. The encoded protein localizes to the mitochondrion. This gene is intronless, and a pseudogene of this gene is located elsewhere on chromosome 1. [provided by RefSeq, Aug 2016]",0,,0,,1,OXCT2,0,,
AL603839.3,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AL356379.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
SCMH1,Homo,,,,,,,0,,0,,2,SCMH1; SCMH1-DT,0,,summary_not_found
HIVEP3,Homo,59269,HIVEP3,HIVEP zinc finger 3,,1,"This gene encodes a member of the human immunodeficiency virus type 1 enhancer-binding protein family. Members of this protein family contain multiple zinc finger and acid-rich (ZAS) domains and serine-threonine rich regions. This protein acts as a transcription factor and is able to regulate nuclear factor kappaB-mediated transcription by binding the kappaB motif in target genes. This protein also binds the recombination signal sequence that flanks the V, D, and J regions of immunoglobulin and T-cell receptors. Alternate splicing results in both coding and non-coding transcript variants. [provided by RefSeq, Sep 2011]",0,,0,,1,HIVEP3,0,,
RIMKLA,Homo,284716,RIMKLA,ribosomal modification protein rimK like family member A,,1,"Predicted to enable N-acetyl-L-aspartate-L-glutamate ligase activity. Predicted to be involved in glutamine family amino acid metabolic process. Predicted to be located in cytosol. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,RIMKLA,0,,
CCDC30,Homo,728621,CCDC30,coiled-coil domain containing 30,,1,,0,,0,,1,CCDC30,0,,
CDC20,Homo,991,CDC20,cell division cycle 20,,1,"CDC20 appears to act as a regulatory protein interacting with several other proteins at multiple points in the cell cycle.  It is required for two microtubule-dependent processes, nuclear movement prior to anaphase and chromosome separation. [provided by RefSeq, Jul 2008]",0,,0,,6,CDC20; CDC20-DT; CDC20B; FZR1; CDC20P1; SCF complex,10,"mitotic checkpoint complex, CDC20-MAD2 subcomplex; ubiquitin ligase inhibitor activity; mitotic checkpoint complex; regulation of mitotic metaphase/anaphase transition; metaphase/anaphase transition of mitotic cell cycle; mitotic spindle assembly checkpoint MAD1-MAD2 complex; negative regulation of mitotic metaphase/anaphase transition; positive regulation of mitotic metaphase/anaphase transition; mitotic spindle assembly checkpoint signaling; negative regulation of ubiquitin protein ligase activity",
ST3GAL3,Homo,6487,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",,1,"The protein encoded by this gene is a type II membrane protein that catalyzes the transfer of sialic acid from CMP-sialic acid to galactose-containing substrates. The encoded protein is normally found in the Golgi apparatus but can be proteolytically processed to a soluble form. This protein is a member of glycosyltransferase family 29. Mutations in this gene have been associated with a form of autosomal recessive nonsymdromic cognitive disability as well as infantile epileptic encephalopathy. Multiple transcript variants encoding several different isoforms have been found for this gene. [provided by RefSeq, Jul 2017]",0,,0,,2,ST3GAL3; ST3GAL3-AS1,0,,
RNF220,Homo,,,,,,,0,,0,,1,RNF220,0,,summary_not_found
