gene,species,summary_uid,summary_symbol,summary_name,summary_type,summary_chromosome,summary_text,disease_count,disease_names,domain_count,domain_names,ols_identity_count,ols_identity_labels,ols_function_count,ols_function_labels,error
RNLS,Homo,,,,,,,0,,0,,1,RNLS,0,,summary_not_found
LIPK,Homo,643414,LIPK,lipase family member K,,10,"Predicted to enable lipoprotein lipase activity. Predicted to be involved in cornification. Predicted to be located in extracellular region. Predicted to be active in intracellular membrane-bounded organelle. [provided by Alliance of Genome Resources, Apr 2025]",0,,0,,1,LIPK,0,,
ANKRD22,Homo,,,,,,,0,,0,,1,ANKRD22,0,,summary_not_found
IFIT2,Homo,3433,IFIT2,interferon induced protein with tetratricopeptide repeats 2,,10,"Enables RNA binding activity. Involved in antiviral innate immune response and positive regulation of apoptotic process. Located in endoplasmic reticulum. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,IFIT2,0,,
IFIT3,Homo,,,,,,,0,,0,,1,IFIT3,0,,summary_not_found
IFIT1,Homo,3434,IFIT1,interferon induced protein with tetratricopeptide repeats 1,,10,"This gene encodes a protein containing tetratricopeptide repeats that was originally identified as induced upon treatment with interferon. The encoded protein may inhibit viral replication and translational initiation. This gene is located in a cluster on chromosome 10 with five other closely related genes. There is a pseudogene for this gene on chromosome 13. Alternatively spliced transcript variants encoding multiple isoforms have been observed. [provided by RefSeq, Aug 2012]",0,,0,,1,IFIT1,0,,
LINC01374,Homo,105378425,LINC01374,long intergenic non-protein coding RNA 1374,,10,,0,,0,,1,LINC00865,0,,
AL139340.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
HTR7,Homo,3363,HTR7,5-hydroxytryptamine receptor 7,,10,"The neurotransmitter, serotonin, is thought to play a role in various cognitive and behavioral functions. The serotonin receptor encoded by this gene belongs to the superfamily of G protein-coupled receptors and the gene is a candidate locus for involvement in autistic disorder and other neuropsychiatric disorders. Three splice variants have been identified which encode proteins that differ in the length of their carboxy terminal ends. [provided by RefSeq, Jul 2008]",0,,0,,1,HTR7,0,,
CPEB3,Homo,22849,CPEB3,cytoplasmic polyadenylation element binding protein 3,,10,"Enables mRNA 3'-UTR binding activity and translation factor activity, RNA binding. Involved in cellular response to amino acid stimulus and regulation of gene expression. Located in several cellular components, including cytosol; midbody; and nucleoplasm. Part of CCR4-NOT complex. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,CPEB3,0,,
MYOF,Homo,26509,MYOF,myoferlin,,10,"Mutations in dysferlin, a protein associated with the plasma membrane, can cause muscle weakness that affects both proximal and distal muscles. The protein encoded by this gene is a type II membrane protein that is structurally similar to dysferlin. It is a member of the ferlin family and associates with both plasma and nuclear membranes. The protein contains C2 domains that play a role in calcium-mediated membrane fusion events, suggesting that it may be involved in membrane regeneration and repair. Two transcript variants encoding different isoforms have been found for this gene. Other possible variants have been detected, but their full-length nature has not been determined. [provided by RefSeq, Dec 2008]",0,,0,,1,MYOF,0,,
CEP55,Homo,55165,CEP55,centrosomal protein 55,,10,"Enables identical protein binding activity. Involved in cranial skeletal system development; establishment of protein localization; and midbody abscission. Acts upstream of or within mitotic cytokinesis. Located in Flemming body and centrosome. Implicated in multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia and hydranencephaly. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,CEP55,0,,
FFAR4,Homo,,,,,,,0,,0,,2,FFAR4; Free fatty acid receptors,0,,summary_not_found
TBC1D12,Homo,,,,,,,0,,0,,1,TBC1D12,0,,summary_not_found
HELLS,Homo,3070,HELLS,"helicase, lymphoid specific",,10,"This gene encodes a lymphoid-specific helicase. Other helicases function in processes involving DNA strand separation, including replication, repair, recombination, and transcription. This protein is thought to be involved with cellular proliferation and may play a role in leukemogenesis. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jan 2014]",0,,0,,1,HELLS,0,,
ACSM6,Homo,142827,ACSM6,acyl-CoA synthetase medium chain family member 6,,10,"Predicted to enable fatty acid ligase activity and fatty-acyl-CoA synthase activity. Predicted to be involved in acyl-CoA metabolic process and fatty acid biosynthetic process. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,ACSM6,0,,
ENTPD1,Homo,,,,,,,0,,0,,2,ENTPD1; ENTPD1-AS1,0,,summary_not_found
CC2D2B,Homo,,,,,,,0,,0,,1,CC2D2B,0,,summary_not_found
BLNK,Homo,,,,,,,0,,0,,2,BLNK; SH2D6,0,,summary_not_found
DNTT,Homo,1791,DNTT,DNA nucleotidylexotransferase,,10,"This gene is a member of the DNA polymerase type-X family and encodes a template-independent DNA polymerase that catalyzes the addition of deoxynucleotides to the 3'-hydroxyl terminus of oligonucleotide primers. In vivo, the encoded protein is expressed in a restricted population of normal and malignant pre-B and pre-T lymphocytes during early differentiation, where it generates antigen receptor diversity by synthesizing non-germ line elements (N-regions) at the junctions of rearranged Ig heavy chain and T cell receptor gene segments. Alternatively spliced transcript variants encoding different isoforms of this gene have been described. [provided by RefSeq, Jul 2008]",0,,0,,1,DNTT,0,,
PIK3AP1,Homo,,,,,,,0,,0,,1,PIK3AP1,0,,summary_not_found
RRP12,Homo,,,,,,,0,,0,,1,RRP12,0,,summary_not_found
UBTD1,Homo,80019,UBTD1,ubiquitin domain containing 1,,10,"The degradation of many proteins is carried out by the ubiquitin pathway in which proteins are targeted for degradation by covalent conjugation of the polypeptide ubiquitin. This gene encodes a protein that belongs to the ubiquitin family of proteins. The encoded protein is thought to regulate E2 ubiquitin conjugating enzymes belonging to the UBE2D family. [provided by RefSeq, Mar 2014]",0,,0,,1,UBTD1,0,,
AL133353.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
ELOVL3,Homo,83401,ELOVL3,ELOVL fatty acid elongase 3,,10,"This gene encodes a protein that belongs to the GNS1/SUR4 family. Members of this family play a role in elongation of long chain fatty acids to provide precursors for synthesis of sphingolipids and ceramides. [provided by RefSeq, Jul 2013]",0,,0,,1,ELOVL3,0,,
AL356608.3,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
CNNM2,Homo,54805,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,,10,"This gene encodes a member of the ancient conserved domain containing protein family. Members of this protein family contain a cyclin box motif and have structural similarity to the cyclins. The encoded protein may play an important role in magnesium homeostasis by mediating the epithelial transport and renal reabsorption of Mg2+. Mutations in this gene are associated with renal hypomagnesemia. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2011]",0,,0,,1,CNNM2,0,,
NEURL1,Homo,9148,NEURL1,neuralized E3 ubiquitin protein ligase 1,,10,"Predicted to enable translation factor activity, non-nucleic acid binding and ubiquitin protein ligase activity. Involved in negative regulation of Notch signaling pathway; negative regulation of cell population proliferation; and positive regulation of apoptotic process. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2025]",0,,0,,2,NEURL1; NEURL1-AS1,0,,
SORCS3,Homo,22986,SORCS3,sortilin related VPS10 domain containing receptor 3,,10,"This gene encodes a type-I receptor transmembrane protein that is a member of the vacuolar protein sorting 10 receptor family. Proteins of this family are defined by a vacuolar protein sorting 10 domain at the N-terminus. The N-terminal segment of this domain has a consensus motif for proprotein convertase processing, and the C-terminal segment of this domain is characterized by ten conserved cysteine residues. The vacuolar protein sorting 10 domain is followed by a leucine-rich segment, a transmembrane domain, and a short C-terminal cytoplasmic domain that interacts with adaptor molecules. The transcript is expressed at high levels in the brain, and candidate gene studies suggest that genetic variation in this gene is associated with Alzheimer's disease. Consistent with this observation, knockdown of the gene in cell culture results in an increase in amyloid precursor protein processing. [provided by RefSeq, Dec 2014]",0,,0,,2,SORCS3; SORCS3-AS1,0,,
ADD3-AS1,Homo,100505933,ADD3-AS1,ADD3 antisense RNA 1,,10,,0,,0,,1,ADD3-AS1,0,,
TCF7L2,Homo,6934,TCF7L2,transcription factor 7 like 2,,10,"This gene encodes a high mobility group (HMG) box-containing transcription factor that plays a key role in the Wnt signaling pathway. The protein has been implicated in blood glucose homeostasis. Genetic variants of this gene are associated with increased risk of type 2 diabetes. Several transcript variants encoding multiple different isoforms have been found for this gene.[provided by RefSeq, Oct 2010]",0,,0,,1,TCF7L2,3,beta-catenin-TCF7L2 complex; catenin-TCF7L2 complex; gamma-catenin-TCF7L2 complex,
AL158212.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
TDRD1,Homo,56165,TDRD1,tudor domain containing 1,,10,"This gene encodes a protein containing a tudor domain that is thought to function in the suppression of transposable elements during spermatogenesis. The related protein in mouse forms a complex with piRNAs and Piwi proteins to promote methylation and silencing of target sequences. This gene was observed to be upregulated by ETS transcription factor ERG in prostate tumors. [provided by RefSeq, Sep 2018]",0,,0,,1,TDRD1,1,pi-body,
AL137025.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
SHTN1,Homo,57698,SHTN1,shootin 1,,10,"Enables identical protein binding activity. Involved in positive regulation of neuron migration. Located in cytoplasm and microtubule. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SHTN1,0,,
SLC18A2,Homo,6571,SLC18A2,solute carrier family 18 member A2,,10,"This gene encodes an transmembrane protein that functions as an ATP-dependent transporter of monoamines, such as dopamine, norepinephrine, serotonin, and histamine. This protein transports amine neurotransmitters into synaptic vesicles. Polymorphisms in this gene may be associated with schizophrenia, bipolar disorder, and other neurological/psychiatric ailments. [provided by RefSeq, Jun 2018]",0,,0,,2,SLC18A2; SLC18A2-AS1,0,,
FGFR2,Homo,2263,FGFR2,fibroblast growth factor receptor 2,,10,"The protein encoded by this gene is a member of the fibroblast growth factor receptor family, where amino acid sequence is highly conserved between members and throughout evolution. FGFR family members differ from one another in their ligand affinities and tissue distribution. A full-length representative protein consists of an extracellular region, composed of three immunoglobulin-like domains, a single hydrophobic membrane-spanning segment and a cytoplasmic tyrosine kinase domain. The extracellular portion of the protein interacts with fibroblast growth factors, setting in motion a cascade of downstream signals, ultimately influencing mitogenesis and differentiation. This particular family member is a high-affinity receptor for acidic, basic and/or keratinocyte growth factor, depending on the isoform. Mutations in this gene are associated with Crouzon syndrome, Pfeiffer syndrome, Craniosynostosis, Apert syndrome, Jackson-Weiss syndrome, Beare-Stevenson cutis gyrata syndrome, Saethre-Chotzen syndrome, and syndromic craniosynostosis. Multiple alternatively spliced transcript variants encoding different isoforms have been noted for this gene. [provided by RefSeq, Jan 2009]",0,,0,,1,FGFR2,2,type 2 fibroblast growth factor receptor binding; fibroblast growth factor receptor 2,
BX842242.1,Homo,5654,HTRA1,HtrA serine peptidase 1,,10,"This gene encodes a member of the trypsin family of serine proteases. This protein is a secreted enzyme that is proposed to regulate the availability of insulin-like growth factors (IGFs) by cleaving IGF-binding proteins. It has also been suggested to be a regulator of cell growth. Variations in the promoter region of this gene are the cause of susceptibility to age-related macular degeneration type 7. [provided by RefSeq, Jul 2008]",0,,0,,0,,0,,
LINC02641,Homo,105378531,LINC02641,long intergenic non-protein coding RNA 2641,,10,,0,,0,,1,LINC02641,0,,
CHST15,Homo,51363,CHST15,carbohydrate sulfotransferase 15,,10,"Chondroitin sulfate (CS) is a glycosaminoglycan which is an important structural component of the extracellular matrix and which links to proteins to form proteoglycans. Chondroitin sulfate E (CS-E) is an isomer of chondroitin sulfate in which the C-4 and C-6 hydroxyl groups are sulfated. This gene encodes a type II transmembrane glycoprotein that acts as a sulfotransferase to transfer sulfate to the C-6 hydroxal group of chondroitin sulfate. This gene has also been identified as being co-expressed with RAG1 in B-cells and as potentially acting as a B-cell surface signaling receptor. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2012]",0,,0,,1,CHST15,0,,
CTBP2,Homo,1488,CTBP2,C-terminal binding protein 2,,10,"This gene produces alternative transcripts encoding two distinct proteins. One protein is a transcriptional repressor, while the other isoform is a major component of specialized synapses known as synaptic ribbons. Both proteins contain a NAD+ binding domain similar to NAD+-dependent 2-hydroxyacid dehydrogenases. A portion of the 3' untranslated region was used to map this gene to chromosome 21q21.3; however, it was noted that similar loci elsewhere in the genome are likely. Blast analysis shows that this gene is present on chromosome 10. Several transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Feb 2014]",0,,0,,10,CTBP2; CTBP2P9; CTBP2P10; CTBP2P11; CTBP2P2; CTBP2P3; CTBP2P4; CTBP2P5; CTBP2P6; CTBP2P7,0,,
FANK1,Homo,92565,FANK1,fibronectin type III and ankyrin repeat domains 1,,10,"Involved in regulation of DNA-templated transcription and regulation of apoptotic process. Located in chromatin; cytosol; and nucleoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,FANK1; FANK1-AS1,0,,
ADAM12,Homo,8038,ADAM12,ADAM metallopeptidase domain 12,,10,"This gene encodes a member of a family of proteins that are structurally related to snake venom disintegrins and have been implicated in a variety of biological processes involving cell-cell and cell-matrix interactions, including fertilization, muscle development, and neurogenesis. Expression of this gene has been used as a maternal serum marker for pre-natal development. Alternative splicing results in multiple transcript variants encoding different isoforms. Shorter isoforms are secreted, while longer isoforms are membrane-bound form. [provided by RefSeq, Jan 2014]",0,,0,,2,ADAM12; Metallopeptidases,1,alpha9-beta1 integrin-ADAM12 complex,
AL589787.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
DOCK1,Homo,1793,DOCK1,dedicator of cytokinesis 1,,10,"This gene encodes a member of the dedicator of cytokinesis protein family. Dedicator of cytokinesis proteins act as guanine nucleotide exchange factors for small Rho family G proteins. The encoded protein regulates the small GTPase Rac, thereby influencing several biological processes, including phagocytosis and cell migration. Overexpression of this gene has also been associated with certain cancers. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2014]",0,,0,,2,DOCK1; DOCK1-AS1,0,,
PTPRE,Homo,5791,PTPRE,protein tyrosine phosphatase receptor type E,,10,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. Several alternatively spliced transcript variants of this gene have been reported, at least two of which encode a receptor-type PTP that possesses a short extracellular domain, a single transmembrane region, and two tandem intracytoplasmic catalytic domains; another one encodes a PTP that contains a distinct hydrophilic N-terminus, and thus represents a nonreceptor-type isoform of this PTP. Studies of the similar gene in mice suggested the regulatory roles of this PTP in RAS related signal transduction pathways, cytokine-induced SATA signaling, as well as the activation of voltage-gated K+ channels. [provided by RefSeq, Oct 2015]",0,,0,,2,PTPRE; PTPRE-AS1,0,,
MKI67,Homo,,,,,,,0,,0,,10,MKI67; NIFKP1; NIFKP2; NIFKP3; NIFKP4; NIFKP5; NIFKP6; NIFKP7; NIFKP8; NIFKP9,0,,summary_not_found
LINC01163,Homo,101927381,LINC01163,long intergenic non-protein coding RNA 1163,,10,,0,,0,,1,LINC01163,0,,
CFAP46,Homo,,,,,,,0,,0,,1,CFAP46,0,,summary_not_found
SCART1,Homo,619207,SCART1,scavenger receptor family member expressed on T cells 1,,10,"Predicted to be involved in T cell mediated immunity. Located in brush border and cytoplasm. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SCART1,0,,
IFITM2,Homo,10581,IFITM2,interferon induced transmembrane protein 2,,11,"Interferon-induced transmembrane (IFITM) proteins are a family of interferon induced antiviral proteins. The family contains five members, including IFITM1, IFITM2 and IFITM3 and belong to the CD225 superfamily. The protein encoded by this gene restricts cellular entry by diverse viral pathogens, such as influenza A virus, Ebola virus and Sars-CoV-2. [provided by RefSeq, Nov 2021]",0,,0,,1,IFITM2,0,,
IFITM3,Homo,10410,IFITM3,interferon induced transmembrane protein 3,,11,"Interferon-induced transmembrane (IFITM) proteins are a family of interferon induced antiviral proteins. The family contains five members, including IFITM1, IFITM2 and IFITM3 and belong to the CD225 superfamily. The protein encoded by this gene restricts cellular entry by diverse viral pathogens, such as influenza A virus, Ebola virus and Sars-CoV-2. [provided by RefSeq, Nov 2021]",0,,0,,10,IFITM3; IFITM3P1; IFITM3P3; IFITM3P4; IFITM3P5; IFITM3P7; IFITM3P8; IFITM3P9; IFITM3-AS1; IFITM3P2,0,,
IRF7,Homo,3665,IRF7,interferon regulatory factor 7,,11,"This gene encodes interferon regulatory factor 7, a member of the interferon regulatory transcription factor (IRF) family. It has been shown to play a role in the transcriptional activation of virus-inducible cellular genes, including interferon beta chain genes. Inducible expression of IRF7 is largely restricted to lymphoid tissue. The encoded protein plays an important role in the innate immune response against DNA and RNA viruses. [provided by RefSeq, Jul 2021]",0,,0,,1,IRF7,3,interferon regulatory factor 7 complex; symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of IRF7 activity; interferon regulatory factor 3-interferon regulatory factor 7 complex,
SCT,Homo,6343,SCT,secretin,,11,"This gene encodes a member of the glucagon family of peptides. The encoded preproprotein is secreted by endocrine S cells in the proximal small intestinal mucosa as a prohormone, then proteolytically processed to generate the mature peptide hormone. The release of this active peptide hormone is stimulated by either fatty acids or acidic pH in the duodenum. This hormone stimulates the secretion of bile and bicarbonate in the duodenum, pancreatic and biliary ducts. [provided by RefSeq, Feb 2016]",0,,0,,1,SCT,4,secretin; secretin proteolytic cleavage product; secretin receptor; intralobular bile duct,
LINC02689,Homo,105376513,LINC02689,long intergenic non-protein coding RNA 2689,,11,,0,,0,,1,LINC02689,0,,
KRTAP5-2,Homo,440021,KRTAP5-2,keratin associated protein 5-2,,11,"Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,4,KRTAP5-2; KRTAP5-8; KRTAP5-AS1; KRTAP5-14P,10,"zeaxanthin 2,2'-beta-hydroxylase activity; dibenzothiophene monooxygenase activity; 5-epi-aristolochene-1,3-dihydroxylase activity; manganese peroxidase activity; hyponitrite reductase (NADH) activity; furylfuramide isomerase activity; nucleoside oxidase activity; hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolysing) activity; chloride peroxidase activity; N-succinylarginine dihydrolase activity",
KCNQ1OT1,Homo,10984,KCNQ1OT1,KCNQ1 opposite strand/antisense transcript 1,,11,"Human chromosomal region 11p15.5 contains two clusters of epigenetically-regulated genes that are expressed from only one chromosome in a parent-of-origin manner. Each cluster, or imprinted domain, is regulated by a functionally independent imprinting control region (ICR). The human CDKN1C/KCNQ1OT1 domain is regulated by an ICR located in an intron of KCNQ1, and contains at least eight genes that are expressed exclusively or preferentially from the maternally-inherited allele. The DNA of the ICR is specifically methylated on the maternally-inherited chromosome, and unmethylated on the paternally-inherited chromosome. The ICR contains the promoter of the KCNQ1OT1 gene that is exclusively expressed from the paternal allele. The KCNQ1OT1 transcript is the antisense to the KCNQ1 gene and is a unspliced long non-coding RNA. It interacts with chromatin and regulates transcription of multiple target genes through epigenetic modifications. The transcript is abnormally expressed from both chromosomes in most patients with Beckwith-Wiedemann syndrome, and the transcript also plays an important role in colorectal carcinogenesis. [provided by RefSeq, Apr 2012]",0,,0,,1,KCNQ1OT1,0,,
CDKN1C,Homo,1028,CDKN1C,cyclin dependent kinase inhibitor 1C,,11,"This gene is imprinted, with preferential expression of the maternal allele. The encoded protein is a tight-binding, strong inhibitor of several G1 cyclin/Cdk complexes and a negative regulator of cell proliferation. Mutations in this gene are implicated in sporadic cancers and Beckwith-Wiedemann syndorome, suggesting that this gene is a tumor suppressor candidate. Three transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Oct 2010]",0,,0,,1,CDKN1C,0,,
AC108448.3,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC127526.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
OR52I2,Homo,143502,OR52I2,olfactory receptor family 52 subfamily I member 2,,11,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. [provided by RefSeq, Jul 2008]",0,,0,,1,OR52I2,0,,
HBD,Homo,3045,HBD,hemoglobin subunit delta,,11,"The delta (HBD) and beta (HBB) genes are normally expressed in the adult: two alpha chains plus two beta chains constitute HbA, which in normal adult life comprises about 97% of the total hemoglobin. Two alpha chains plus two delta chains constitute HbA-2, which with HbF comprises the remaining 3% of adult hemoglobin. Five beta-like globin genes are found within a 45 kb cluster on chromosome 11 in the following order:      5'-epsilon--Ggamma--Agamma--delta--beta-3'. Mutations in the delta-globin gene are associated with beta-thalassemia. [provided by RefSeq, Jul 2008]",0,,0,,4,HBD; DEFB1; DEFB103A; DEFB4A,0,,
AC104389.5,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC022762.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC091564.6,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
AC087280.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
STK33,Homo,,,,,,,0,,0,,2,STK33; STK33 family kinases,0,,summary_not_found
SWAP70,Homo,23075,SWAP70,switching B cell complex subunit SWAP70,,11,"Enables cadherin binding activity. Predicted to be involved in regulation of small GTPase mediated signal transduction. Predicted to act upstream of or within isotype switching. Located in actin cytoskeleton; cytoplasm; and plasma membrane. Is active in postsynapse. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,SWAP70,1,isotype switching,
SBF2,Homo,,,,,,,0,,0,,2,SBF2; SBF2-AS1,0,,summary_not_found
AC011092.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
GALNT18,Homo,,,,,,,0,,0,,2,GALNT18; GALNT18-AS1,0,,summary_not_found
MICAL2,Homo,,,,,,,0,,0,,3,MICAL2; MICAL2-AS1; LINC02989,0,,summary_not_found
SPON1,Homo,10418,SPON1,spondin 1,,11,"Predicted to enable LBD domain binding activity and metal ion binding activity. Predicted to be an extracellular matrix structural constituent. Predicted to be involved in cell adhesion. Predicted to act upstream of or within negative regulation of amyloid-beta formation; positive regulation of amyloid precursor protein catabolic process; and positive regulation of protein processing. Located in collagen-containing extracellular matrix and extracellular space. [provided by Alliance of Genome Resources, Apr 2025]",0,,0,,2,SPON1; SPON1-AS1,0,,
RRAS2,Homo,,,,,,,0,,0,,3,RRAS2; RRAS2P1; RRAS2P2,0,,summary_not_found
PDE3B,Homo,,,,,,,0,,0,,1,PDE3B,0,,summary_not_found
LDHC,Homo,3948,LDHC,lactate dehydrogenase C,,11," Lactate dehydrogenase C catalyzes the conversion of L-lactate and NAD to pyruvate and NADH in the final step of anaerobic glycolysis.  LDHC is testis-specific and belongs to the lactate dehydrogenase family.  Two transcript variants have been detected which differ in the 5' untranslated region. [provided by RefSeq, Jul 2008]",0,,0,,2,LDHC; L-lactate dehydrogenase family,0,,
E2F8,Homo,79733,E2F8,E2F transcription factor 8,,11,"This gene encodes a member of a family of transcription factors which regulate the expression of genes required for progression through the cell cycle. The encoded protein regulates progression from G1 to S phase by ensuring the nucleus divides at the proper time. Multiple alternatively spliced variants, encoding the same protein, have been identified. [provided by RefSeq, Jan 2012]",0,,0,,2,E2F8; CSRP3-AS1,0,,
ANO5,Homo,203859,ANO5,anoctamin 5,,11,"This gene encodes a member of the anoctamin family of transmembrane proteins. The encoded protein is likely a calcium activated chloride channel. Mutations in this gene have been associated with gnathodiaphyseal dysplasia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Nov 2009]",0,,0,,1,ANO5,0,,
CCDC179,Homo,,,,,,,0,,0,,1,CCDC179,0,,summary_not_found
LINC02718,Homo,,,,,,,0,,0,,1,LINC02718,0,,summary_not_found
LINC02726,Homo,,,,,,,0,,0,,1,LINC02726,0,,summary_not_found
AC100768.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
LGR4,Homo,55366,LGR4,leucine rich repeat containing G protein-coupled receptor 4,,11,"The protein encoded by this gene is a G-protein coupled receptor that binds R-spondins and activates the Wnt signaling pathway. This Wnt signaling pathway activation is necessary for proper development of many organs of the body. [provided by RefSeq, Oct 2016]",0,,0,,2,LGR4; LGR4-AS1,0,,
BDNF-AS,Homo,497258,BDNF-AS,BDNF antisense RNA,,11,,0,,0,,1,BDNF-AS,10,"brain-derived neurotrophic factor receptor signaling pathway; brain-derived neurotrophic factor binding; regulation of brain-derived neurotrophic factor receptor signaling pathway; brain-derived neurotrophic factor receptor binding; cellular response to brain-derived neurotrophic factor stimulus; brain-derived neurotrophic factor receptor activity; regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission; trans-synaptic signaling by BDNF; trans-synaptic signaling by BDNF, modulating synaptic transmission; negative regulation of brain-derived neurotrophic factor receptor signaling pathway",
MPPED2,Homo,744,MPPED2,metallophosphoesterase domain containing 2,,11,"Predicted to enable manganese ion binding activity; phosphoric diester hydrolase activity; and purine ribonucleotide binding activity. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,2,MPPED2; MPPED2-AS1,0,,
DCDC1,Homo,341019,DCDC1,doublecortin domain containing 1,,11,"This gene encodes a member of the doublecortin family. The protein encoded by this gene is a hydrophilic, intracellular protein. It contains a single doublecortin domain and is unable to bind microtubules and to regulate microtubule polymerization. This gene is mainly expressed in adult testis. It does not have a mouse homolog. [provided by RefSeq, Sep 2010]",0,,0,,1,DCDC1,0,,
CCDC73,Homo,,,,,,,0,,0,,1,CCDC73,0,,summary_not_found
ABTB2,Homo,,,,,,,0,,0,,1,ABTB2,0,,summary_not_found
LDLRAD3,Homo,,,,,,,0,,0,,1,LDLRAD3,0,,summary_not_found
AC021723.2,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
C11orf96,Homo,387763,C11orf96,chromosome 11 open reading frame 96,,11,,0,,0,,1,C11orf96,0,,
AC116021.1,Homo,,,,,,,0,,0,,0,,0,,summary_not_found
C11orf49,Homo,79096,CSTPP1,centriolar satellite-associated tubulin polyglutamylase complex regulator 1,,11,"Enables protein-macromolecule adaptor activity. Involved in regulation of protein complex stability. Is active in centriolar satellite. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,CSTPP1,0,,
SPI1,Homo,6688,SPI1,Spi-1 proto-oncogene,,11,"This gene encodes an ETS-domain transcription factor that activates gene expression during myeloid and B-lymphoid cell development. The nuclear protein binds to a purine-rich sequence known as the PU-box found near the promoters of target genes, and regulates their expression in coordination with other transcription factors and cofactors. The protein can also regulate alternative splicing of target genes. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0,,0,,3,SPI1; SLC39A13-AS1; PIRAT1,0,,
AC090559.1,Homo,,,,,,,0,,0,,1,SLC39A13-AS1,0,,summary_not_found
C1QTNF4,Homo,114900,C1QTNF4,C1q and TNF related 4,,11,"Predicted to enable cytokine activity. Involved in positive regulation of cytokine production and positive regulation of signal transduction. Located in extracellular space. [provided by Alliance of Genome Resources, Jul 2025]",0,,0,,1,C1QTNF4,0,,
PTPRJ,Homo,5795,PTPRJ,protein tyrosine phosphatase receptor type J,,11,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes, including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP possesses an extracellular region containing five fibronectin type III repeats, a single transmembrane region, and a single intracytoplasmic catalytic domain, and thus represents a receptor-type PTP. This protein is present in all hematopoietic lineages, and was shown to negatively regulate T cell receptor signaling possibly through interfering with the phosphorylation of Phospholipase C Gamma 1 and Linker for Activation of T Cells. This protein can also dephosphorylate the PDGF beta receptor, and may be involved in UV-induced signal transduction. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0,,0,,2,PTPRJ; PTPRJ-AS1,0,,
PRG2,Homo,,,,,,,0,,0,,3,PRG2; PLPPR3; PXDN,0,,summary_not_found
